label,text
Neg,I never realized how shitty by iphone battery was until #sxsw I'm charging every few hours
Neg,Several years too late? I think the trend of social apps is over... @mention  #sxsw #google #circles #conversation @mention
Neg,why the heck doesn't google maps use browser geo-location? am I missing it somehow? using chrome. @mention #sxsw #startupbus
Neg,Why the heck would anyone want Mozilla to switch to CrapKit (WebKit) when Gecko is good? Stupid Apple/Google bandwaggoners. #sxsw
Neg,"Apple cited as the opposite of crowdsourcing - proprietary, Steve Jobs tells you what you want #csuitecsourcing #sxsw"
Neg,just walked by the line for the iPad 2. Bahahahaha! at least 5 blocks long. #fail #SXSW
Neg,Just walked past the supposed #Apple #SxSW temp store downstairs @mention and the apple cult was outside taking photos on iphones.
Neg,"Google prefers to launch hyped new Social features with meh, not bang? via TC {link} #SXSW"
Neg,"Like in Vegas during #CES, the iPhone is best used as a hand warmer at #SXSW."
Neg,Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw
Neg,Google seems to have sabotaged my YouTube account - WTF? Are they trying to OWN the entire online ecosystem?  VERY BAD FORM #SXSW
Neg,"To my friends at #SXSW who think I abandoned you, in reality I just didn't have any means of communication, my iPhone stopped working. #fail"
Neg,What happened to the Taxi Magic iPhone app? Now all I can do is call the cabs via it #sxsw
Neg,"Ha! RT @mention Google guy at #sxsw talk is explaining how he made realistic Twitter bots as an experiment. Gee, thanks for doing that."
Neg,Oh no utter @mention #sxsw fail. Can't see the letter of the ballroom in the iPhone app as it is too long and doesn't wrap /cc @mention
Neg,Gamechanger like Wave and Buzz no doubt RT @mention Google to Launch Major New Social Network Called Circles {link} #sxsw
Neg,It is never more apparent than at #sxsw how nice it would be if apple made stuff w/ removable batteries. #alwayshavingtoplugin #gsdm
Neg,iPhone users at #SXSW - any of you have your GPS stuck on? Is one of the new geo app updates doing it? FourSquare/gowalla?
Neg,Apple takes bruises from panelists. Not well regarded in sustainability space.  Corporate Sustainability Reporting and Transparency.  #SXSW
Neg,Apple likes it if you pay them. That's what Apple likes. - Barry Diller #SXSW
Neg,The dailies on iPad are going to evolve...they're still impossible to download (20 MB and up downloads) #sxsw
Neg,google presentation by Mayer is a sales pitch #fail #sxsw
Neg,Sooo... Design for iPads session is just an hour long ad for me to buy and iPad and apps? #amismarternow? #sxsw
Neg,"In iPad Design Headaches: Take Two Tablets, Call Me in the AM panel - excited to hear @mention live! #sxsw"
Neg,It was awesome to hear Marissa Mayer acknowledge that Google Maps needs to increase support for its product b/c of incorrect routes. #SXSW
Neg,The SXXpress line is almost as long as the Apple line. #sxsw {link}
Neg,Novelty of #iPad news #apps fades fast among digital delegates - Aron Pilhofer of the NYT &amp; Khoi Vinh {link}  #media #SXSW
Neg,Outside of 9:30 panels which 75% of people skip I can barely get anything to work on my iPhone. #sxsw needs to shrink by 10k people.
Neg,Novelty of iPad news apps fades fast among #SXSW delegates - by @mention {link}
Neg,"Pollak, if you're having so much trouble the don't sell through apple...duh #sxswbigbrands #sxsw"
Neg,Turning off Twitter until #sxsw is over and #ipad is forgotten.
Neg,kicking off w/ @mention talking iPad design headaches #sxsw
Neg,Why is wifi working on my laptop but neither that nor 3g on my iphone? grrr. #sxsw
Neg,"@mention for the life of me, I can't get my iPad to sync all the sessions, only partial. iPhone is fine, iPad is deciding what it wants. #sxsw"
Neg,Cab ride from hell to get to Apple store at mall. They were sold out. Getting dinner then have to figure how how to get back to hotel. #sxsw
Neg,Navigating a crowded party sucks. But its way worse when everyone walks around with their face in their iPhone. #sxsw #adpeopleproblems
Neg,Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an #iPad 2.&quot; @mention @mention
Neg,@mention glad I've not got a faulty iPhone then. That'll go down well for #sxsw everyone's battery dies 5 times quicker. Hope @mention knows.
Neg,"&quot;google has too many products, and needs to condense them&quot; #sxsw  (FYI - they have NINE mobile products)"
Neg,"&quot;Google looks for technical solutions, which why they're not great at community because it's a human solution.&quot; #SXSW"
Neg,&quot;Google to Launch Major New Social Network.&quot; really dont need another social network...{link} #sxsw
Neg,"IPad Design Headaches. interface metaphor. Looks like a book, make it behave like a book. Simple stuff, but often forgotten. #SXSW"
Neg,iPad design malady: iPad Elbow - I hate the iPad's back button with the heat of a million suns. #tapworthy #sxsw
Neg,I didn't go to #sxsw because I'm still using an iPhone 3G. #oldschool #novideo #veryslow
Neg,@mention good job @mention #sxsw! went home &amp; watched season 1 of the guild =D. sucks that your tweet abt the iphone hijack is a top tweet lol
Neg,My #sxsw Google calendar is getting a little out of control
Neg,@mention Google Circles will be Lame. #sxsw &lt;3
Neg,I think #Google lost their way by caring too much about their business (instead of their users) Tim O'Reilly #sxsw #pnid
Neg,Who uses Google TV in this room? Nobody raises a hand in a packed room at the #socialviewing session at #sxsw
Neg,"Lunch with @mention at #CNNGrill. View from the HTML5 dev trenches: Android is painful, iOS is sleek (for what @mention is doing) #sxsw"
Neg,Open graph did repair the damage google did to the title tag. #sxsw #microformats
Neg,@mention Ha! I feel like the only person at #sxsw with a non-Mac/iPad!
Neg,iPad2 in hand thanks to the Popup Apple Store at #SXSW. First impression: I may have a lemon. Backlight has some bleed thru at the bottom.
Neg,"Beware, the android #sxsw app for schedules is completely innacurate. Just walked to the hyatt for no reason #sxswfail"
Neg,Data is the new oil. (Companies like Google and Facebook have monopoly and terms of service to be wary of) - @mention #sxsw
Neg,Kara Swisher: Apple is the most stylish fascist company in America #sxsw
Neg,"Well, Cashmore just gave the new iPad a crushing non-endorsement. #sxsw #checkins #ouch"
Neg,"RIP my iPhone 4: June 2010 -  #SXSW. You survived a severe drop, but could not evade drowning. {link}"
Neg,"95% of iPhone and Droid apps have less than 1,000 downloads total. #SXSW"
Neg,Tomorrow I go back to the Apple store... *sigh* #sxsw
Neg,"@mention I hate typing on an iPad. So, yeah, THE Ken Calhoun is this man, the real deal! And I am bringing my laptop to #sxsw Sun."
Neg,@mention I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw
Neg,"@mention I meant iTunes doesn't work for me (IE: Don't run Apple software, even if it would run on my Ubuntu desktop).  Not just #SXSW dl"
Neg,@mention I outdid myself this time with the tech #FAIL. iPhone=broken. Might be the worst thing that can ever happen at #sxsw
Neg,@mention I'm glad I don't have an iPad 2 ... I think. #sxsw
Neg,@mention I'm going to #SXSW let's meet up! I can't use @mention yet because I have an Android phone but show me how it works!
Neg,@mention I'm guessing there will not be an #Android app in time for #SXSW?
Neg,"Totalitarian thought in action: People worldwide come to Austin, TX for #SXSW and decide to spend their time in line at an Apple Store."
Neg,It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly
Neg,"@mention If I were you, I'd stay away from the Apple Store tomorrow #sxsw"
Neg,@mention if it makes you feel better google-wannabe fanbois were acting like giggling schoolgirls in front of Marissa Mayer y'day #SXSW
Neg,"Related: if u have Verizon, u will do better. #SXSW bandwidth issue. My BlackBerry always tweeted when my iPhone dawdled. #wjchat"
Neg,Farmers like Blackberry smart phones because iPhone's &quot;don't last long on the farm&quot;. #mobilefarm #sxsw
Neg,Tablets like the iPad and Xoom where touch emulates a mouse-click/keyboard input means we're not there yet. #sxsw #gswsxsw #futureoftouch
Neg,Techie Fail RT @mention One #SXSW panel moderator who is from Europe says he spent $3000 in roaming charges on his iPhone at SXSW 2010.
